gate_id,lane,criterion,observed_value,threshold,passed,evidence_path,interpretation
G1,Xiao no-refit,Fig. 3 distribution predicts Fig. 4 better than published-bound baseline,0.19252671094590748,< 0.50,True,outputs/xiao_distribution_prediction_vector/xiao_distribution_prediction_summary.csv,No-refit distribution prediction is meaningfully better than the generic lower-bound curve.
G2,Xiao no-refit,Absolute no-refit error remains small,0.01334336655995,< 0.025,True,outputs/xiao_distribution_prediction_vector/xiao_distribution_prediction_summary.csv,The held-out cross-figure prediction is numerically tight enough to be the lead candidate.
G3,Xiao stress,Bootstrap probability that no-refit beats published bound,1.0,>= 0.95,True,outputs/xiao_distribution_prediction_vector_stress/stress_summary.csv,Digitization uncertainty does not erase the no-refit advantage.
G4,Xiao stress,Bootstrap probability that no-refit RMSE stays below 0.025,0.957,>= 0.90,True,outputs/xiao_distribution_prediction_vector_stress/stress_summary.csv,The result survives the absolute-error gate under jitter.
G5,Xiao null,Pairing null probability of matching observed no-refit RMSE,0.003,<= 0.05,True,outputs/xiao_distribution_prediction_vector_stress/stress_summary.csv,The result is unlikely under shuffled visibility/momentum pairing.
G6,Xiao null,Branch-label null probability of matching observed no-refit RMSE,0.0,<= 0.05,True,outputs/xiao_distribution_prediction_vector_stress/stress_summary.csv,The phi=0 / phi=pi branch identity is carrying real signal.
G7,Chapman support,Raw Fourier/sinc beats monotone exponential by RMSE ratio,2.8709779562939937,> 2.0,True,outputs/chapman_kernel/kernel_fit_summary.csv,An independent experiment supports Fourier record bandwidth over scalar dephasing.
G8,Chapman support,Raw first zero aligns with d/lambda near 0.5,0.5098500191193757,0.45 to 0.55,True,outputs/chapman_kernel/kernel_fit_summary.csv,The zero/revival scale is consistent with a broad photon recoil record.
G9,Hackermueller support,Thermal record-load bootstrap beats plain exp(power),0.994,>= 0.95,True,outputs/hackermueller_thermal_stress/stress_summary.csv,A durable environmental-record lane supports the record-load variable.
G10,Chapman blocker,Raw complex phase repaired while preserving visibility,model still fails,raw phase repaired,False,outputs/chapman_complex_mixture/complex_mixture_summary.csv,The strongest Chapman phase overconstraint still blocks breakthrough language.
G11,External blocker,Second independent distribution-to-visibility experiment found,0,> 0,False,outputs/no_refit_target_scout/no_refit_target_scout_summary.csv,The scout keeps this blocker explicit: Xiao is within-paper cross-figure evidence; a true breakthrough needs another independent no-refit distribution test.
G12,Theory blocker,Lambda/Gamma/Theta product law validated by independent factors,not yet,yes,False,experimental design,"The evidence supports a record-variable target, not the full product law."
