package_rank,candidate_id,study,required_artifact,receipt_template_path,required_receipt_columns,receipt_verification_status,receipt_validation_command,acceptance_gate,failure_mode,closure_boundary
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,beam_deflection_broadening_calibration.csv,outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering/beam-deflection-broadening-calibration.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering/beam-deflection-broadening-calibration.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,kappa_uncertainty_notes.md,outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering/kappa-uncertainty-notes.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering/kappa-uncertainty-notes.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,paired_contrast_values.csv,outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering/paired-contrast-values.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering/paired-contrast-values.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,record_distribution.csv,outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer/record-distribution.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer/record-distribution.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count an independent record distribution without a paired visibility-loss curve
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,setting_pairing_notes.md,outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer/setting-pairing-notes.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer/setting-pairing-notes.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count an independent record distribution without a paired visibility-loss curve
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,visibility_or_contrast_sweep.csv,outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer/visibility-or-contrast-sweep.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer/visibility-or-contrast-sweep.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count an independent record distribution without a paired visibility-loss curve
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independence_provenance.md,outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption/independence-provenance.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption/independence-provenance.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count visibility-derived record variables as independent distribution-to-visibility validation
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution.csv,outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption/independent-record-distribution.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption/independent-record-distribution.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count visibility-derived record variables as independent distribution-to-visibility validation
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,paired_visibility_or_contrast.csv,outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption/paired-visibility-or-contrast.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption/paired-visibility-or-contrast.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independence_provenance.md,outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence/independence-provenance.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence/independence-provenance.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count visibility-derived record variables as independent distribution-to-visibility validation
