package_rank,candidate_id,study,required_artifact,receipt_template_path,required_receipt_columns,receipt_verification_status,receipt_validation_command,acceptance_gate,failure_mode,closure_boundary
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution.csv,outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence/independent-record-distribution.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence/independent-record-distribution.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,paired_visibility_or_contrast.csv,outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence/paired-visibility-or-contrast.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence/paired-visibility-or-contrast.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independence_provenance.md,outputs/tmp/arxiv_source_line_evidence_receipts/hochrainer-2017-induced-coherence-momentum-correlation/independence-provenance.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/hochrainer-2017-induced-coherence-momentum-correlation/independence-provenance.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independent_record_distribution.csv,outputs/tmp/arxiv_source_line_evidence_receipts/hochrainer-2017-induced-coherence-momentum-correlation/independent-record-distribution.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/hochrainer-2017-induced-coherence-momentum-correlation/independent-record-distribution.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,paired_visibility_or_contrast.csv,outputs/tmp/arxiv_source_line_evidence_receipts/hochrainer-2017-induced-coherence-momentum-correlation/paired-visibility-or-contrast.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/hochrainer-2017-induced-coherence-momentum-correlation/paired-visibility-or-contrast.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independence_provenance.md,outputs/tmp/arxiv_source_line_evidence_receipts/lahiri-2017-twin-photon-correlations/independence-provenance.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/lahiri-2017-twin-photon-correlations/independence-provenance.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independent_record_distribution.csv,outputs/tmp/arxiv_source_line_evidence_receipts/lahiri-2017-twin-photon-correlations/independent-record-distribution.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/lahiri-2017-twin-photon-correlations/independent-record-distribution.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,paired_visibility_or_contrast.csv,outputs/tmp/arxiv_source_line_evidence_receipts/lahiri-2017-twin-photon-correlations/paired-visibility-or-contrast.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/lahiri-2017-twin-photon-correlations/paired-visibility-or-contrast.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independence_provenance.md,outputs/tmp/arxiv_source_line_evidence_receipts/cormann-2016-modular-value/independence-provenance.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/cormann-2016-modular-value/independence-provenance.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independent_record_distribution.csv,outputs/tmp/arxiv_source_line_evidence_receipts/cormann-2016-modular-value/independent-record-distribution.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/cormann-2016-modular-value/independent-record-distribution.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,paired_visibility_or_contrast.csv,outputs/tmp/arxiv_source_line_evidence_receipts/cormann-2016-modular-value/paired-visibility-or-contrast.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,receipt_pending,"uv run --with-requirements requirements.txt python -c ""import pandas as pd; p='outputs/tmp/arxiv_source_line_evidence_receipts/cormann-2016-modular-value/paired-visibility-or-contrast.csv'; required='candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note'.split(';'); df=pd.read_csv(p); missing=[c for c in required if c not in df.columns]; assert not missing, missing; assert not df.empty; row=df.iloc[0]; assert str(row['source_sha256']) != 'PENDING_SHA256'; assert int(row['matched_line_count']) > 0; assert str(row['matched_line_numbers']).strip() not in ('', 'PENDING_LINE_NUMBERS'); assert str(row['short_excerpt_hashes']).strip() not in ('', 'PENDING_EXCERPT_HASHES'); assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_sha256 must be non-placeholder; matched_line_count > 0; line numbers and excerpt hashes populated; acceptance_decision=accepted; closure_eligible=true,missing_or_placeholder_receipt,do not count visibility-derived record variables as independent distribution-to-visibility validation
