priority_rank,candidate_id,study,evidence_class,class_rank,no_refit_gate_score,priority_reason,first_valid_action,overclaim_boundary
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,raw_calibration_tables,1,0.84,only current stress-tested public route; calibration uncertainty gates block G11,recover raw beam-deflection/broadening calibration tables with independent kappa uncertainty provenance,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,paired_visibility_curve,2,0.52,candidate has an independent record distribution but lacks the paired visibility curve needed for no-refit closure,recover a paired visibility or contrast sweep measured under the same record-distribution settings,do not count an independent record distribution without a paired visibility-loss curve
3,KOCSIS_2011_AVERAGE_TRAJECTORIES,Kocsis et al. 2011,paired_visibility_curve,2,0.45,candidate has an independent record distribution but lacks the paired visibility curve needed for no-refit closure,recover a paired visibility or contrast sweep measured under the same record-distribution settings,do not count an independent record distribution without a paired visibility-loss curve
4,ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE,Rozema et al. 2012,paired_visibility_curve,2,0.44,candidate has an independent record distribution but lacks the paired visibility curve needed for no-refit closure,recover a paired visibility or contrast sweep measured under the same record-distribution settings,do not count an independent record distribution without a paired visibility-loss curve
5,KANEDA_2014_ERROR_DISTURBANCE,Kaneda et al. 2014,paired_visibility_curve,2,0.43,candidate has an independent record distribution but lacks the paired visibility curve needed for no-refit closure,recover a paired visibility or contrast sweep measured under the same record-distribution settings,do not count an independent record distribution without a paired visibility-loss curve
6,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution,3,0.7,candidate has a visibility/duality surface but lacks an independently measured record distribution,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution,3,0.68,candidate has a visibility/duality surface but lacks an independently measured record distribution,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
8,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independent_record_distribution,3,0.6,candidate has a visibility/duality surface but lacks an independently measured record distribution,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
9,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independent_record_distribution,3,0.58,candidate has a visibility/duality surface but lacks an independently measured record distribution,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
10,DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD,Ding et al. 2025,independent_record_distribution,3,0.5,candidate has a visibility/duality surface but lacks an independently measured record distribution,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
11,CHEN_2022_ASYMMETRIC_BEAM_DUALITY,Chen et al. 2022,independent_record_distribution,3,0.48,candidate has a visibility/duality surface but lacks an independently measured record distribution,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
12,YOON_2021_QUANTITATIVE_COMPLEMENTARITY,Yoon and Cho 2021,independent_record_distribution,3,0.47,candidate has a visibility/duality surface but lacks an independently measured record distribution,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
13,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independent_record_distribution,3,0.42,candidate has a visibility/duality surface but lacks an independently measured record distribution,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
14,DURR_1998_COMPLEMENTARITY,Duerr/Nonn/Rempe 1998,independent_record_distribution,3,0.35,candidate has a visibility/duality surface but lacks an independently measured record distribution,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
